acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour
1 IPC 1860,"JHUGGI NO. A-603, SANJAY CAMP, CHANAKYA PURI, NEW DELHI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170003,4,2017-01-01,CHANKYA PURI,23:40,363,11:00,11:00,Kidnapping,Kidnapping,11.0
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-01-05,CHANKYA PURI,13:00,186/353,11:00,11:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,11.0
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,,2017-01-07,CHANKYA PURI,13:30,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,"RIDGE ROAD TOWARDS KAROL BAGH, NEAR SIMON BOLIVER RED LIGHT, CHANAKYA PURI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170007,6,2017-01-08,CHANKYA PURI,09:20,279/337,17:20,17:20,Rash driving-endangering safety of others,Rash driving,17.0
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25,Rash driving-endangering safety of others,Rash driving,20.0
1 IPC 1860,"SP MARG NEAR PANCHSHEEL RED LIGHT TOWARDS 11 MURTI, CHANAKYA PURI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165007170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170009,1,2017-01-15,CHANKYA PURI,06:30,429,01:00,01:00,mischief by killing,mischief by killing,1.0
1 IPC 1860,"NEAR SP MARG BUS STOP, SP MARG, CH.PURI ND",2017-01-19,2017-01-19,Thursday,NEW DELHI,8165007170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170010,2,2017-01-19,CHANKYA PURI,10:15,279/337,06:15,06:15,Rash driving-endangering safety of others,Rash driving,6.0
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20,Rash driving-endangering safety of others,Rash driving,21.0
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10,Rash driving-endangering safety of others,Rash driving,20.0
1 IPC 1860,"JHUGGI, SANJAY CAMP, CHANAKYA PURI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170015,6,2017-02-03,CHANKYA PURI,08:10,363,17:00,17:00,Kidnapping,Kidnapping,17.0
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-02-04,CHANKYA PURI,19:35,420,12:00,12:00,cheating,cheating,12.0
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,,2017-02-05,CHANKYA PURI,06:10,279/304A,02:10,05:50,Negligence conduct-Rash driving,Rash driving,2.0
