Friday,INTERVENING DAY,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
25.0,19.0,18.0,18.0,22.0,28.0,18.0,18.0
31.0,7.0,34.0,51.0,32.0,26.0,33.0,23.0
26.0,31.0,29.0,41.0,34.0,22.0,18.0,22.0
28.0,8.0,29.0,28.0,23.0,22.0,21.0,26.0
41.0,21.0,35.0,52.0,35.0,31.0,35.0,30.0
41.0,3.0,39.0,54.0,34.0,35.0,38.0,27.0
29.0,11.0,44.0,28.0,30.0,36.0,51.0,42.0
31.0,15.0,31.0,43.0,42.0,28.0,26.0,29.0
29.0,31.0,19.0,24.0,32.0,20.0,25.0,29.0
1.0,8.0,,,1.0,1.0,1.0,4.0
,19.0,,,,,,
38.0,26.0,36.0,33.0,44.0,31.0,27.0,33.0
52.0,9.0,40.0,47.0,48.0,61.0,36.0,47.0
18.0,3.0,27.0,44.0,36.0,34.0,35.0,29.0
32.0,5.0,41.0,38.0,26.0,41.0,43.0,30.0
2.0,,3.0,2.0,6.0,5.0,5.0,9.0
36.0,1.0,22.0,19.0,19.0,23.0,22.0,20.0
34.0,9.0,28.0,38.0,39.0,23.0,26.0,31.0
,22.0,,,,,,
